Country Name,Country Code,Year,Composite_Score,Grade,Continent
"Bahamas, The",BHS,2023,0.562902742,A,North America
Bahrain,BHR,2023,0.548673471,B,Asia
Bangladesh,BGD,2023,0.36090155,D,Asia
Belarus,BLR,2023,0.441987444,C,Europe
Belgium,BEL,2023,0.596764971,A,Europe
Belize,BLZ,2023,0.476561841,C,North America
Bolivia,BOL,2023,0.408497176,D,South America
Bosnia and Herzegovina,BIH,2023,0.44902238,C,Europe
Botswana,BWA,2023,0.521617336,B,Africa
Brazil,BRA,2023,0.453004734,C,South America
Bulgaria,BGR,2023,0.523077872,B,Europe
Burkina Faso,BFA,2023,0.232817827,D,Africa
Burundi,BDI,2023,0.180615101,D,Africa
Cabo Verde,CPV,2023,0.52981944,B,Africa
Cambodia,KHM,2023,0.44811172,C,Asia
Cameroon,CMR,2023,0.310604316,D,Africa
Canada,CAN,2023,0.602527559,A,North America
Chile,CHL,2023,0.533779079,B,South America
China,CHN,2023,0.500185523,B,Asia
Colombia,COL,2023,0.442850109,C,South America
"Congo, Rep.",COG,2023,0.318846119,D,Africa
Costa Rica,CRI,2023,0.541007092,B,North America
Cote d'Ivoire,CIV,2023,0.364428243,D,Africa
Croatia,HRV,2023,0.535564556,B,Europe
Cyprus,CYP,2023,0.557025975,B,Europe
Czechia,CZE,2023,0.598906884,A,Europe
Denmark,DNK,2023,0.674095036,A+,Europe
Dominican Republic,DOM,2023,0.480279002,C,North America
Ecuador,ECU,2023,0.421522138,C,South America
"Egypt, Arab Rep.",EGY,2023,0.411334307,D,Africa
El Salvador,SLV,2023,0.447448458,C,North America
Estonia,EST,2023,0.593110105,A,Europe
Finland,FIN,2023,0.615287991,A,Europe
France,FRA,2023,0.560651192,B,Europe
"Gambia, The",GMB,2023,0.375321567,D,Africa
Georgia,GEO,2023,0.511481638,B,Asia
Germany,DEU,2023,0.595952913,A,Europe
Ghana,GHA,2023,0.4372343,C,Africa
Greece,GRC,2023,0.499710717,B,Europe
Guatemala,GTM,2023,0.407211151,D,North America
Guinea,GIN,2023,0.314398349,D,Africa
Guyana,GUY,2023,0.529080838,B,South America
Honduras,HND,2023,0.396686298,D,North America
"Hong Kong SAR, China",HKG,2023,0.700115825,A+,Asia
Hungary,HUN,2023,0.545707464,B,Europe
Iceland,ISL,2023,0.64538937,A+,Europe
India,IND,2023,0.446430898,C,Asia
Indonesia,IDN,2023,0.458288955,C,Asia
Iraq,IRQ,2023,0.379023641,D,Asia
Ireland,IRL,2023,0.676485785,A+,Europe
Israel,ISR,2023,0.538532545,B,Asia
Italy,ITA,2023,0.544967383,B,Europe
Jamaica,JAM,2023,0.506627239,B,North America
Japan,JPN,2023,0.626842033,A+,Asia
Jordan,JOR,2023,0.505230518,B,Asia
Kazakhstan,KAZ,2023,0.487379277,C,Asia
Kenya,KEN,2023,0.343270358,D,Africa
"Korea, Rep.",KOR,2023,0.596430162,A,Asia
Kuwait,KWT,2023,0.570136416,A,Asia
Kyrgyz Republic,KGZ,2023,0.41243019,D,Asia
Latvia,LVA,2023,0.557180349,B,Europe
Lebanon,LBN,2023,0.37189741,D,Asia
Lithuania,LTU,2023,0.57763609,A,Europe
Luxembourg,LUX,2023,0.75314233,A+,Europe
"Macao SAR, China",MAC,2023,0.742973845,A+,Asia
Madagascar,MDG,2023,0.276313024,D,Africa
Malaysia,MYS,2023,0.556835793,B,Asia
Malta,MLT,2023,0.597877673,A,Europe
Mauritania,MRT,2023,0.341770537,D,Africa
Mauritius,MUS,2023,0.550731576,B,Africa
Mexico,MEX,2023,0.435580505,C,North America
Moldova,MDA,2023,0.448878225,C,Europe
Mongolia,MNG,2023,0.497761235,C,Asia
Montenegro,MNE,2023,0.50580529,B,Europe
Morocco,MAR,2023,0.470720624,C,Africa
Mozambique,MOZ,2023,0.277843868,D,Africa
Namibia,NAM,2023,0.436585149,C,Africa
Nepal,NPL,2023,0.418225873,D,Asia
Netherlands,NLD,2023,0.640208669,A+,Europe
New Zealand,NZL,2023,0.616925507,A,Oceania
Nicaragua,NIC,2023,0.401810676,D,North America
Nigeria,NGA,2023,0.290989403,D,Africa
North Macedonia,MKD,2023,0.504516419,B,Europe
Norway,NOR,2023,0.670303629,A+,Europe
Oman,OMN,2023,0.542487969,B,Asia
Pakistan,PAK,2023,0.304078574,D,Asia
Panama,PAN,2023,0.47258068,C,North America
Papua New Guinea,PNG,2023,0.303556257,D,Oceania
Paraguay,PRY,2023,0.455452789,C,South America
Peru,PER,2023,0.441713099,C,South America
Philippines,PHL,2023,0.461842603,C,Asia
Poland,POL,2023,0.549286513,B,Europe
Portugal,PRT,2023,0.561806311,A,Europe
Qatar,QAT,2023,0.656122303,A+,Asia
Romania,ROU,2023,0.511916782,B,Europe
Russian Federation,RUS,2023,0.461361775,C,Europe
Rwanda,RWA,2023,0.412604169,D,Africa
Samoa,WSM,2023,0.542251467,B,Oceania
Saudi Arabia,SAU,2023,0.583262488,A,Asia
Serbia,SRB,2023,0.494934171,C,Europe
Seychelles,SYC,2023,0.585930133,A,Africa
Singapore,SGP,2023,0.776478611,A+,Asia
Slovak Republic,SVK,2023,0.543197108,B,Europe
Slovenia,SVN,2023,0.58763014,A,Europe
Solomon Islands,SLB,2023,0.418614163,D,Oceania
South Africa,ZAF,2023,0.426001239,C,Africa
Spain,ESP,2023,0.546524013,B,Europe
Sri Lanka,LKA,2023,0.402858923,D,Asia
Suriname,SUR,2023,0.478040247,C,South America
Sweden,SWE,2023,0.628215793,A+,Europe
Switzerland,CHE,2023,0.708713739,A+,Europe
Thailand,THA,2023,0.501397423,B,Asia
Timor-Leste,TLS,2023,0.405011854,D,Asia
Trinidad and Tobago,TTO,2023,0.514066202,B,North America
